Absorption wavelength (nm), Intensity
279.84,0.0858
253.65,0.0598
269.48,0.5759
301.03,0.0603
384.2,0.0003
407.53,0.1735
245.56,0.0034
320.07,0.0015
225.81,0.2825
277.21,0.0017
271.73,0.27
267.54,0.0073
184.55,0.1559
249.83,0.0062
224.61,0.0026
354.41,0.0017
253.16,0.0034
271.89,0.0558
366.01,0.2285
281.04,0.0041
260.21,0.1122
346.2,0.0094
259.17,0.0022
285.45,0.0311
268.59,0.0305
298.65,0.0005
261.36,0.003
288.53,0.0007
242.39,0.0378
281.27,0.1854
327.86,0
312.57,0.0001
260.74,0.1013
286.11,0.0018
276.89,0.0076
287.7,0.0113
310.19,0.1418
233.09,0.0025
238.63,0.006
369.33,0.1868
323.84,0.0943
328.94,0.0905
255.87,0.0065
316.67,0.351
349.71,0.0226
243.58,0.0032
297.98,0.2526
305.87,0.0377
241.17,0.0027
311,0.1112
241.21,0.007
253.3,0.0275
263.2,0.0001
293.26,0.7797
333.34,0.0216
272.62,0
260.5,0.0691
174.57,0.0091
230.42,0.0004
280.61,0.0377
194.57,0.0006
248.09,0.0008
227.72,0.0002
261.92,0.0183
281.75,0.0789
261.03,0.002
235.73,0.0009
266.02,0.1265
341.78,0.0002
251.15,0.3106
474.47,0
262.6,0.2452
285.55,0.0116
249.1,0.0026
284.12,0.0108
327.84,0.0026
307.31,0.0515
254.58,0
239.26,0.0179
308.37,0.0132
295.11,0.0125
260.06,0.0355
426.04,0
380.93,0.0361
261.93,0.0409
355.81,0.0047
284.55,0.0999
291.43,0.0227
255.5,0.0034
266.84,0.0085
307.03,0.0142
298.39,0.0317
317.29,0.0527
299.57,0.0335
251.86,0.0678
262.67,0.0577
444.68,0.0009
348.35,0.0017
277.9,0.108
283.32,0.0923
272.03,0.3753
312.75,0.0008
280.7,0.0278
259.94,0.0147
263.44,0.1186
282.42,0.0357
268.18,0.0894
266.26,0.177
300,0.0872
355.78,0.0129
372.06,0.0933
271.1,0.0253
272.2,0.0001
184.76,0.0028
345.22,0.6235
335.07,0.0024
380.25,0.0036
277.13,0.0612
362.21,0.0045
308.44,0.2402
310.38,0.0242
304.06,0.0135
312.94,0.1611
368.94,0
268.67,0.1395
426.56,0.0001
258.99,0.0148
276.68,0.1867
316.8,0.0025
270.4,0.035
343.61,0.0461
319.97,0.0003
335.89,0.0001
286.84,0.0297
267.14,0.0575
393.64,0.0001
346.05,0.0508
350.01,0.1211
349.91,0.0959
242.2,0.0006
280.48,0.2704
312.46,0.1541
274.14,0.1468
279.7,0.0021
264.43,0.0494
305.98,0.001
329.19,0.3414
320.73,0.0011
306.03,0.0886
279.31,0.0453
322.76,0.001
198.03,0.007
288.88,0.0018
368.34,0.0199
258,0.0018
233.33,0.0033
454.45,0.0849
261.66,0.0004
325.03,0.0022
326.62,0.0186
277.59,0.1611
288.53,0.1084
348.2,0.0009
251.37,0.0551
263.67,0.022
268.3,0.0671
409.31,0.4031
278.61,0.0724
260.39,0.0035
280.58,0.028
269.18,0.0001
406.29,0.1302
367.96,0.007
297.67,0.0005
350.03,0.0293
361.64,0.0004
305.01,0.197
297.12,0.0003
235.66,0.0036
273.67,0.1645
359.93,0.5819
341.55,0.983
302.07,0.0029
233.97,0.0065
270.94,0.0917
288.23,0.0554
301.24,0.0135
284.68,0.0841
247.92,0.0368
354.3,0.1644
259.97,0.4877
369.73,0.0018
369.16,0.0005
212.94,0.003
326.69,0.0597
298.42,0.1067
335.3,0.0004
334,0.0008
237.89,0.0003
233.65,0.0011
241.65,0.0005
243.95,0.0286
273.76,0.0815
248.9,0.0633
272.24,0.0122
274.67,0.2688
